,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,1500,1,0,2022-03-29,Gasolina,
1,1000,0,0,2022-04-06,Saúde,Diabetes
2,50,0,0,2022-04-16,Gasolina,
3,120,0,0,2022-05-24,Gasolina,
4,250,1,0,2022-05-24,Saúde,
5,35,0,0,2022-09-09,Saúde,
6,245,0,0,2022-09-24,Saúde,
7,100,0,0,2022-09-04,Saúde,
8,150,1,0,2022-03-29,Saúde,
9,2500,0,0,2022-04-02,Gasolina,
10,3000,0,0,2022-05-02,Gasolina,
11,2500,0,0,2022-06-02,Gasolina,
12,1500,0,0,2022-07-02,Gasolina,
13,1200,0,0,2022-08-02,Gasolina,
14,900,0,0,2022-09-02,Gasolina,
15,2700,0,0,2022-10-02,Gasolina,
16,150,0,0,2022-11-02,Gasolina,
17,7500,0,0,2022-12-29,Gasolina,
18,2500,1,0,2022-06-24,Saúde,
19,20,1,0,2022-07-24,Saúde,
20,280,1,0,2022-08-24,Saúde,
21,10000,1,0,2022-09-24,Saúde,
22,800,1,0,2022-10-24,Saúde,
23,750,1,0,2022-11-24,Saúde,
24,1900,1,0,2022-12-24,Saúde,
25,4500,1,0,2022-02-24,Saúde,
26,5000,1,0,2022-01-24,Saúde,
27,480,1,0,2022-03-24,Saúde,
28,3600,1,0,2022-04-24,Saúde,
29,1257,1,0,2022-05-12,Saúde,
30,900,1,0,2022-05-23,Saúde,
31,250,1,0,2022-07-05,Saúde,
32,498,1,0,2022-09-09,Saúde,
33,4000,1,0,2022-08-08,Saúde,
34,10000,1,0,2022-12-15,Saúde,
35,250,1,0,2022-01-02,Petshop,
36,150,1,0,2022-02-15,Petshop,
37,150,1,0,2022-03-15,Petshop,
38,1000,1,0,2022-04-15,Petshop,
39,1100,1,0,2022-05-15,Petshop,
40,250,1,0,2022-06-15,Petshop,
41,300,1,0,2022-07-15,Petshop,
42,200,1,0,2022-08-15,Petshop,
43,100,1,0,2022-09-15,Petshop,
44,250,1,0,2022-10-15,Petshop,
45,1500,1,0,2022-11-15,Petshop,
46,1500,1,0,2022-12-15,Petshop,
47,250,1,0,2022-11-15,Petshop,
48,200,1,0,2022-01-15,Lazer,
49,150,1,0,2022-02-15,Lazer,
50,40,1,0,2022-03-15,Lazer,
51,55,1,0,2022-04-15,Lazer,
52,60,1,0,2022-05-15,Lazer,
53,1000,1,0,2022-06-15,Lazer,
54,600,1,0,2022-07-15,Lazer,
55,25,1,0,2022-08-15,Lazer,
56,12,1,0,2022-09-15,Lazer,
57,350,1,0,2022-10-15,Lazer,
58,700,1,0,2022-11-15,Lazer,
59,120,1,0,2022-12-15,Lazer,
60,2200,1,0,2022-01-10,Aluguel,
61,2200,1,0,2022-02-10,Aluguel,
62,2200,1,0,2022-03-10,Aluguel,
63,2200,1,0,2022-04-10,Aluguel,
64,2200,1,0,2022-05-10,Aluguel,
65,2200,1,0,2022-06-10,Aluguel,
66,2200,1,0,2022-07-10,Aluguel,
67,2200,1,0,2022-08-10,Aluguel,
68,2200,1,0,2022-09-10,Aluguel,
69,2200,1,0,2022-10-10,Aluguel,
70,2200,1,0,2022-11-10,Aluguel,
71,2200,1,0,2022-12-10,Aluguel,
71,350,1,0,2022-01-10,Alimentação,
72,500,1,0,2022-02-10,Alimentação,
73,200,1,0,2022-03-10,Alimentação,
74,150,1,0,2022-04-10,Alimentação,
75,350,1,0,2022-05-10,Alimentação,
76,400,1,0,2022-06-10,Alimentação,
77,600,1,0,2022-07-10,Alimentação,
78,800,1,0,2022-08-10,Alimentação,
79,150,1,0,2022-09-10,Alimentação,
80,120,1,0,2022-10-10,Alimentação,
81,250,1,0,2022-11-10,Alimentação,
82,100,1,0,2022-12-10,Alimentação,
83,800,1,0,2022-01-10,Mercado,
82,800,1,0,2022-02-10,Mercado,
83,800,1,0,2022-03-10,Mercado,
84,850,1,0,2022-04-10,Mercado,
85,850,1,0,2022-05-10,Mercado,
86,800,1,0,2022-06-10,Mercado,
87,700,1,0,2022-07-10,Mercado,
88,600,1,0,2022-08-10,Mercado,
89,550,1,0,2022-09-10,Mercado,
90,820,1,0,2022-10-10,Mercado,
91,550,1,0,2022-11-10,Mercado,
92,800,1,0,2022-12-10,Mercado,
