,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,250.0,1,0,2022-03-29,Investimentos,Jogo do bixo
1,1500.0,1,0,2022-03-29,Comissão,
2,1500.0,1,0,2022-03-30,Dívidas ativas,
3,1500.0,1,0,2022-03-30,Comissão,
4,1500.0,0,0,2022-10-04,Investimentos,
5,1250.0,1,0,2022-04-29,Comissão,
6,2350.0,1,0,2022-05-29,Comissão,
7,2550.0,1,0,2022-06-29,Comissão,
8,10.0,1,0,2022-07-29,Comissão,
9,1500.0,1,0,2022-08-29,Comissão,
10,3000.0,1,0,2022-09-29,Comissão,
11,2500.0,1,0,2022-10-29,Comissão,
12,2500.0,1,0,2022-12-29,Comissão,
13,2500.0,1,0,2022-12-29,Comissão,
14,15000.0,1,0,2022-04-29,Investimentos,
15,3800.0,1,0,2022-06-29,Investimentos,
16,2500.0,1,0,2022-05-29,Investimentos,
17,1550.0,1,0,2022-06-29,Investimentos,
18,2000.0,1,0,2022-07-29,Investimentos,
19,9000.0,1,0,2022-08-29,Investimentos,
20,15000.0,1,0,2022-09-29,Investimentos,
21,7500.0,1,0,2022-10-29,Investimentos,
22,6000.0,1,0,2022-11-29,Investimentos,
23,4500.0,1,0,2022-12-29,Investimentos,
24,15000.0,1,0,2022-01-2,Investimentos,
25,250.0,1,0,2022-03-2,Investimentos,
26,700.0,1,0,2022-02-2,Investimentos,
27,8000.0,1,0,2022-04-2,Investimentos,
28,650.0,1,0,2022-05-2,Investimentos,
29,8500.0,1,0,2022-06-2,Investimentos,
30,9000.0,1,0,2022-07-2,Investimentos,
31,750.0,1,0,2022-08-2,Investimentos,
32,230.0,1,0,2022-09-2,Investimentos,
33,287.0,1,0,2022-10-2,Investimentos,
34,6580.0,1,0,2022-11-2,Investimentos,

